period,start_date,end_date,portfolio,window,n_days,avg_alpha_annualized,last_alpha_annualized,avg_r2,last_r2,avg_beta_mkt_rf,last_beta_mkt_rf,avg_beta_smb,last_beta_smb,avg_beta_hml,last_beta_hml,avg_beta_rmw,last_beta_rmw,avg_beta_cma,last_beta_cma,avg_beta_mom,last_beta_mom
covid_rebound_2020_2021,2020-03-23,2021-12-31,D,252,450,-0.03189464563292478,-0.02935194892075188,0.970217581690462,0.944926115767739,0.908802168037364,0.9283159951682579,0.01862955697840295,0.03794003978571504,0.21116250347943075,0.32183953496999207,0.0030388043781216308,0.06203551879734859,0.3029842459262251,0.09475615927739277,-0.0935075061207957,-0.13509616599567517
covid_rebound_2020_2021,2020-03-23,2021-12-31,D,504,450,-0.023720622750688168,-0.015924057307662443,0.9807378066340968,0.9757766646367328,0.92536481392734,0.9071009037239284,-0.02206287720478421,-0.018890759482941537,0.1790801600956577,0.24136334134888193,-0.006463561467861339,0.005457259317229938,0.3767934997832528,0.30007773351001044,-0.09133006196283994,-0.08442724765964345
covid_rebound_2020_2021,2020-03-23,2021-12-31,G,252,450,0.03587014104245301,0.08317284662382796,0.9753913671176678,0.9674928070983632,1.116001023832346,1.102783249238773,-0.14781634628207554,-0.170062043501208,-0.31101864377796307,-0.3877754925741527,0.15847449307222156,0.0978877664333034,-0.011154994897115576,0.21716364684438347,0.0060784846894532465,0.09254575898162425
covid_rebound_2020_2021,2020-03-23,2021-12-31,G,504,450,0.022166726989959824,0.04244457679098823,0.9798766665660631,0.9770458468952552,1.0971803742805544,1.1109417754332251,-0.12297210901037066,-0.09638805788335532,-0.29808682698442857,-0.3269546116391559,0.18494227161480056,0.14992748742677095,-0.16058998254291368,0.03684915488583366,-0.004241935423646859,0.013789106231127632
covid_rebound_2020_2021,2020-03-23,2021-12-31,G-D,252,450,0.07059483646930019,0.11591302725143526,0.8123857104880949,0.8740685097571627,0.20719885579498196,0.17446725407051494,-0.16644590326047856,-0.208002083286923,-0.5221811472573938,-0.7096150275441447,0.15543568869409993,0.03585224763595487,-0.3141392408233407,0.12240748756699069,0.09958599081024892,0.22764192497729904
covid_rebound_2020_2021,2020-03-23,2021-12-31,G-D,504,450,0.0470264090928135,0.05930925241524365,0.790627362241427,0.803766522246906,0.17181556035321432,0.2038408717092971,-0.10090923180558646,-0.07749729840041392,-0.4771669870800862,-0.5683179529880381,0.19140583308266185,0.14447022810954116,-0.5373834823261666,-0.26322857862417676,0.08708812653919307,0.09821635389077094
rate_hike_2022,2022-01-03,2022-12-30,D,252,251,0.005380855049023086,0.04657856882639755,0.9509359311692686,0.9660624429668161,0.8772276232434716,0.9064792701058857,0.07698324957453712,0.1387218831806703,0.3020782943582893,0.31233964282810545,0.08585422226112091,0.081355803565631,0.19276887241454976,0.17118723773696384,-0.06946812639075507,-0.030550189067810672
rate_hike_2022,2022-01-03,2022-12-30,D,504,251,0.0006540845122418117,0.01365389068723144,0.9564498284024929,0.9562006971669508,0.8747393150977374,0.8892670002193729,0.031954259603038035,0.03586144007284046,0.29145349518186536,0.32613105048507207,0.061729436699486114,0.071533065926359,0.18983645662802948,0.14959613077172387,-0.06536225498299482,-0.07497225332884831
rate_hike_2022,2022-01-03,2022-12-30,G,252,251,0.04203692490921163,-0.021434818533873967,0.9764262051437501,0.979574589296684,1.1445713076792667,1.1430791650026477,-0.17532338025624886,-0.2233265396095629,-0.33743037431058,-0.2906900814986886,0.07250886141232638,0.069710595141378,0.07121709580614403,0.03645995320231084,0.043820588423225025,-0.038789786990717785
rate_hike_2022,2022-01-03,2022-12-30,G,504,251,0.033800310998923576,0.02139608309311436,0.9731324930461025,0.9744388342794867,1.1474041615687582,1.1561152706518527,-0.13688342325684022,-0.15283154868776247,-0.3425772023627243,-0.3607593282122753,0.09329206441024053,0.08103201670626017,0.11077409114282326,0.10483614455036902,0.009751784935067162,0.015010022864182493
rate_hike_2022,2022-01-03,2022-12-30,G-D,252,251,0.03767648810693013,-0.06499776613061314,0.8562937169419614,0.8423739296449227,0.267343684435795,0.2365998948967616,-0.25230662983078594,-0.3620484227902333,-0.6395086686688692,-0.6030297243267944,-0.013345360848794572,-0.011645208424252838,-0.12155177660840573,-0.1347272845346527,0.1132887148139801,-0.008239597922906903
rate_hike_2022,2022-01-03,2022-12-30,G-D,504,251,0.03338729031564474,0.007638317890794166,0.842834804943782,0.8401224461890815,0.27266484647102085,0.2668482704324794,-0.1688376828598783,-0.1886929887606031,-0.6340306975445897,-0.6868903786973475,0.031562627710754416,0.009498950779901308,-0.07906236548520625,-0.04475998622135444,0.07511403991806197,0.08998227619303115
ai_rally_2023_2024,2023-01-03,2024-12-31,D,252,502,0.009509299284316411,0.030282079306806375,0.9337671535413283,0.8769098462965971,0.8764280665051067,0.7746495218422689,0.05705978714625289,0.0515259706018379,0.2733762287807925,0.3184754129591977,0.05355684736865181,0.061942085333142875,0.292043545250604,0.19445249359256672,-0.05826970682951362,-0.1488150624850634
ai_rally_2023_2024,2023-01-03,2024-12-31,D,504,502,-0.00011814713979828676,-0.011983141910688833,0.9462276418701266,0.9017176103259456,0.8813547277675987,0.8058861745764477,0.04914000530918967,0.032922018377478934,0.292573164258844,0.3198313906616455,0.06063026479827932,0.05570932515459353,0.24116519699948305,0.23805558793372938,-0.07661009434971543,-0.103512728649206
ai_rally_2023_2024,2023-01-03,2024-12-31,G,252,502,-0.013867311613135152,-0.065490564441674,0.9607604347596889,0.9488991146976316,1.1513776203403785,1.2679375533608714,-0.13121132366203564,-0.10149612495089957,-0.2682477829186859,-0.3403742022498654,0.12624592397228443,0.07543510561873931,-0.19416184939155967,0.05328685886108059,0.04682708846058569,0.14849402357201238
ai_rally_2023_2024,2023-01-03,2024-12-31,G,504,502,0.016431710582116153,0.0031749468417485716,0.9668871514824958,0.9440589766660518,1.161834642932027,1.2293761028799632,-0.1420398799138064,-0.08567243883586101,-0.2988673492468941,-0.35487437161128316,0.10378083334056275,0.1106782000346547,-0.10276354766723166,-0.08089680615967984,0.037825336961522446,0.0808737973250069
ai_rally_2023_2024,2023-01-03,2024-12-31,G-D,252,502,-0.022146884693077046,-0.09296817068782981,0.8089775793302764,0.7961181529132996,0.2749495538352717,0.4932880315186023,-0.1882711108082885,-0.15302209555273777,-0.5416240116994783,-0.6588496152090634,0.07268907660363257,0.013493020285596562,-0.48620539464216367,-0.14116563473148602,0.10509679529009933,0.29730908605707573
ai_rally_2023_2024,2023-01-03,2024-12-31,G-D,504,502,0.016553633091675506,0.015341193807072884,0.8001276713254112,0.7613264301027256,0.2804799151644282,0.4234899283035163,-0.19117988522299606,-0.11859445721333958,-0.5914405135057381,-0.6747057622729291,0.04315056854228343,0.05496887488006102,-0.34392874466671464,-0.3189523940934093,0.11443543131123786,0.18438652597421298
recent_2025_2026q1,2025-01-02,2026-03-31,D,252,311,-0.01643834384417274,-0.00665459029955584,0.9116287487518243,0.9238659835681192,0.7955930576516571,0.7899570922888645,0.027202891873572044,0.02906884939938192,0.33533995431753283,0.2806902136433577,0.055726585858783415,0.0231768762120897,0.1364330409588094,0.27425536399274697,-0.19161491023180374,-0.08919802713263646
recent_2025_2026q1,2025-01-02,2026-03-31,D,504,311,-0.0033396618528835037,0.004192670275647403,0.9046724295097823,0.8997548486725909,0.7918592307225031,0.7825755248258567,0.03202584664564789,0.05614443035621211,0.3221246582963217,0.3301935075476054,0.08258609539875847,0.04675245774512311,0.17078785751333103,0.15508278811560222,-0.16004249113681565,-0.14997437723959553
recent_2025_2026q1,2025-01-02,2026-03-31,G,252,311,0.007562610665033775,0.035210094966397154,0.9682912096812099,0.970621135502005,1.193475113568488,1.1886591285773909,-0.07610468157665347,-0.11122020518872658,-0.34636935523047074,-0.22623460960229988,0.03377295937893303,-0.06889599751194611,0.11553325282724448,-0.14608080135826323,0.114671351686598,0.04944872764799511
recent_2025_2026q1,2025-01-02,2026-03-31,G,504,311,-0.0028345473629903454,0.007895839550342343,0.9574205537429227,0.9619821011096035,1.2148035319248325,1.2013882614160147,-0.0769808491936589,-0.11008386230870305,-0.34901231201858185,-0.3396526363751393,0.05964293734021557,-0.0038150514958729316,0.03699428235796686,0.0555664392107754,0.12426868034298562,0.11826449830870454
recent_2025_2026q1,2025-01-02,2026-03-31,G-D,252,311,0.026107169589717007,0.04214400418333675,0.7938716701437504,0.7795131928273527,0.39788205591683107,0.3987020362885258,-0.1033075734502255,-0.14028905458810842,-0.6817093095480036,-0.5069248232456574,-0.021953626479850368,-0.09207287372403551,-0.020899788131564907,-0.42033616535100976,0.3062862619184018,0.13864675478063154
recent_2025_2026q1,2025-01-02,2026-03-31,G-D,504,311,0.0006246232028410159,0.003687769270359187,0.7781770070364422,0.7865134705434523,0.42294430120232945,0.41881273659015844,-0.1090066958393068,-0.16622829266491573,-0.6711369703149036,-0.6698461439227447,-0.022943158058542912,-0.05056750924099609,-0.1337935751553642,-0.09951634890482684,0.2843111714798013,0.2682388755483002
