method,config_id,cost_bps,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,display_name,final_wealth
supp_expanded_local_grid,local_a0.50_ls0.50_lc0.05_tilt0.50_tau0.75_eta0.05,10,2233,2017-06-28,2026-05-15,3.755299574027542,0.19239824553854823,0.19285345955581876,1.0093837293589678,1.2211665202702584,-0.3163326028729787,0.6082150362977429,4.696744327984469,0.45060683045559574,Best Local Grid (tilt 50%),4.713364542297667
matched_smooth_tnx_only,tnx_tilt0.50_tau0.75_eta0.05,10,2233,2017-06-28,2026-05-15,3.2703033870559475,0.17800992010014816,0.19328959868480192,0.9447423319884101,1.1255327122245566,-0.31306978720772616,0.5685950141909928,5.666870320572267,0.474788877281472,Matched TNX-only (tilt 50%),4.227821357299546
matched_smooth_core_only,core_a0.50_tilt0.50_tau0.75_eta0.05,10,2233,2017-06-28,2026-05-15,3.281524108392704,0.17835883311059875,0.18942733489517136,0.9616393524960636,1.1476268283146196,-0.3198497834453383,0.5576331213651733,4.101902586280306,0.37176066116412676,Matched Core-only (tilt 50%),4.247781367517796
supp_extreme_tilt_base,extreme_a0.50_ls0.25_lc0.15_tilt0.50_tau1.0_eta0.05,10,2233,2017-06-28,2026-05-15,3.6784601004860304,0.1902080990379813,0.19447734346519913,0.9931124392960878,1.1993711437564414,-0.31720763921027173,0.5996327815796879,4.6587052460703715,0.4692385113401665,Extreme 50% Tilt,4.63713199886556
benchmark_50_50_gd,benchmark_50_50_gd,10,2233,2017-06-28,2026-05-15,3.057628844611277,0.17123799374651671,0.1934381833734724,0.9144078524606916,1.0812440057999224,-0.3358675551910051,0.5098378545350565,0.0,0.5,50/50 G-D Buy & Hold,4.021354579526972
benchmark_100_g,benchmark_100_g,10,2233,2017-06-28,2026-05-15,4.550778639891888,0.21339533785367792,0.2353288428289731,0.9401054485499574,1.1666062690287695,-0.3434553386295507,0.6213190300234207,0.0,1.0,100% G Buy & Hold,5.485739169765719
benchmark_100_d,benchmark_100_d,10,2233,2017-06-28,2026-05-15,1.82173751364711,0.124195907838754,0.17528690177644998,0.7560682458145882,0.8586911079369187,-0.3671295816808853,0.33828902391937193,0.0,0.0,100% D Buy & Hold,2.804393129087938
benchmark_spy,benchmark_spy,10,2233,2017-06-28,2026-05-15,2.5162248904066207,0.15246091192246225,0.18735714601628745,0.8515387799389373,0.984752042782056,-0.3371738844275918,0.4521729557474173,0.0,,SPY Buy & Hold,3.4866124467933663
